dataset,model,idx,complexity,group,iou,dice
OxfordPet,deeplabv3plus_resnet34,69,0.26529541015625,Hard,0.8509435057640076,0.9158176978429159
OxfordPet,deeplabv3plus_resnet34,70,0.18655700683593748,Medium,0.7008564869562784,0.816875159740448
OxfordPet,deeplabv3plus_resnet34,71,0.21782379150390624,Medium,0.8013556798299154,0.880101760228475
OxfordPet,deeplabv3plus_resnet34,72,0.28258361816406247,Hard,0.807904064655304,0.885138213634491
OxfordPet,deeplabv3plus_resnet34,73,0.206427001953125,Medium,0.8695253928502401,0.9254816571871439
OxfordPet,deeplabv3plus_resnet34,74,0.20593719482421874,Medium,0.7477249503135681,0.8469354708989462
OxfordPet,deeplabv3plus_resnet34,75,0.1895751953125,Medium,0.8449313243230184,0.9084938565889994
OxfordPet,deeplabv3plus_resnet34,76,0.22997283935546875,Hard,0.7140371799468994,0.8121370077133179
OxfordPet,deeplabv3plus_resnet34,77,0.2231536865234375,Medium,0.8711878061294556,0.9274482925732931
OxfordPet,deeplabv3plus_resnet34,78,0.13686981201171874,Easy,0.5929745237032572,0.7425512671470642
OxfordPet,deeplabv3plus_resnet34,79,0.24834442138671875,Hard,0.8411223093668619,0.9090960224469503
OxfordPet,deeplabv3plus_resnet34,80,0.17780609130859373,Easy,0.8725096583366394,0.9292716979980469
OxfordPet,deeplabv3plus_resnet34,81,0.215374755859375,Medium,0.8789121905962626,0.9326900641123453
OxfordPet,deeplabv3plus_resnet34,82,0.1929779052734375,Medium,0.8565544287363688,0.9195561011632284
OxfordPet,deeplabv3plus_resnet34,83,0.05654144287109375,Easy,0.8389726678530375,0.9069884220759074
OxfordPet,deeplabv3plus_resnet34,84,0.22574462890625,Medium,0.8466696739196777,0.9128868381182352
OxfordPet,deeplabv3plus_resnet34,85,0.1656951904296875,Easy,0.7443368633588155,0.8438223600387573
OxfordPet,deeplabv3plus_resnet34,86,0.1800506591796875,Medium,0.8752362330754598,0.9286116560300192
OxfordPet,deeplabv3plus_resnet34,87,0.0968658447265625,Easy,0.7371000647544861,0.8435003757476807
OxfordPet,deeplabv3plus_resnet34,88,0.210870361328125,Medium,0.8360874454180399,0.9042718807856241
OxfordPet,deeplabv3plus_resnet34,89,0.1437286376953125,Easy,0.7861793835957845,0.870815654595693
OxfordPet,deeplabv3plus_resnet34,90,0.08852691650390625,Easy,0.8206358949343363,0.8957895636558533
OxfordPet,deeplabv3plus_resnet34,91,0.23445281982421876,Hard,0.9003076553344727,0.9446521401405334
OxfordPet,deeplabv3plus_resnet34,92,0.14578704833984374,Easy,0.8034043709437052,0.884350577990214
OxfordPet,deeplabv3plus_resnet34,93,0.2548004150390625,Hard,0.8710168798764547,0.9275659720102946
OxfordPet,deeplabv3plus_resnet34,94,0.2706451416015625,Hard,0.8476297656695048,0.9127102494239807
OxfordPet,deeplabv3plus_resnet34,95,0.14277038574218748,Easy,0.8251959880193075,0.8966200947761536
OxfordPet,deeplabv3plus_resnet34,96,0.2638519287109375,Hard,0.7941450476646423,0.8784918983777364
OxfordPet,deeplabv3plus_resnet34,97,0.21225280761718748,Medium,0.8457945187886556,0.911993662516276
OxfordPet,deeplabv3plus_resnet34,98,0.2301239013671875,Hard,0.7182144323984782,0.8267877499262491
